bank,raw_caption,loader_table_type,n_rows,n_docs,docs
DBS,By industry,by_industry,25,2,DBS_2Q22_performance_summary; DBS_2Q25_performance_summary
DBS,Selected balance sheet and other items2,selected_balance_sheet_and_other_items2,24,1,DBS_4Q25_performance_summary
UOB,5 Classification of Financial Assets and Financial Liabilities (continued) — Dec 24,classification_of_financial_assets_and_financial_liabilities_continued_dec_24,23,1,UOB_4Q25_condensed-financial-statements
UOB,5 Classification of Financial Assets and Financial Liabilities — Dec 25,classification_of_financial_assets_and_financial_liabilities_dec_25,23,1,UOB_4Q25_condensed-financial-statements
DBS,IRBA - RWA Flow Statement for Credit Risk Exposures,irba_rwa_flow_statement_for_credit_risk_exposures,20,2,3Q25_P3_other_regulatory_disclosures; DBS_1Q22_pillar3
OCBC,Movements in Level 3 non-financial assets,movements_in_level_3_non_financial_assets,20,1,OCBC_4Q25_Condensed_Financial_Statements
UOB,Financial Highlights (cont'd),financial_highlights_cont_d,19,1,UOB_4Q25_condensed-financial-statements
UOB,Non-Interest Income,non_interest_income,18,1,UOB_4Q25_condensed-financial-statements
DBS,By collateral type,by_collateral_type,14,2,DBS_2Q22_performance_summary; DBS_2Q25_performance_summary
OCBC,NPLs by Industry,npls_by_industry,14,1,OCBC_1H25_Media_Release_Financial_Highlights
OCBC,Third Quarter 2025 Performance,third_quarter_2025_performance,14,1,OCBC_3Q25_Results_Press_Release
OCBC,13.1 Business segments — Half year ended 31 December 2025,business_segments_half_year_ended_31_december_2025,14,1,OCBC_4Q25_Condensed_Financial_Statements
UOB,Performance by Business Segment 1 (cont’d) — 1H25,performance_by_business_segment_1_cont_d_1h25,14,1,UOB_4Q25_condensed-financial-statements
UOB,Performance by Business Segment 1 (cont’d) — 2H24,performance_by_business_segment_1_cont_d_2h24,14,1,UOB_4Q25_condensed-financial-statements
UOB,Performance by Business Segment 1 (cont’d) — 2H25,performance_by_business_segment_1_cont_d_2h25,14,1,UOB_4Q25_condensed-financial-statements
DBS,Volume and rate analysis ($m) Increase/(decrease) due to change in,volume_and_rate_analysis_m_increase_decrease_due_to_change_in,13,1,DBS_2Q25_performance_summary
DBS,Selected income statement items 1st Half 2025,selected_income_statement_items_1st_half_2025,13,1,DBS_2Q25_performance_summary
OCBC,1H25 Performance Highlights,1h25_performance_highlights,13,1,OCBC_1H25_Media_Release_Financial_Highlights
OCBC,First Half 2025 Performance,first_half_2025_performance,13,1,OCBC_1H25_Media_Release_Financial_Highlights
OCBC,First Quarter 2025 Performance,first_quarter_2025_performance,13,1,OCBC_1Q25_Results__Press_Release
OCBC,3Q25 Performance Highlights,3q25_performance_highlights,13,1,OCBC_3Q25_Results_Press_Release
OCBC,13.1 Business segments — Half year ended 31 December 2024,business_segments_half_year_ended_31_december_2024,13,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,13.1 Business segments — Year ended 31 December 2024,business_segments_year_ended_31_december_2024,13,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,13.1 Business segments — Year ended 31 December 2025,business_segments_year_ended_31_december_2025,13,1,OCBC_4Q25_Condensed_Financial_Statements
DBS,Selected income statement items 1st Half 2024,selected_income_statement_items_1st_half_2024,12,1,DBS_2Q25_performance_summary
DBS,Selected income statement items 2nd Half 2024,selected_income_statement_items_2nd_half_2024,12,1,DBS_2Q25_performance_summary
OCBC,Credit costs (bps) 1/,credit_costs_bps_1,12,2,OCBC_1H25_Media_Release_Financial_Highlights; OCBC_4Q25_Media_Release_and_Financial_Highlights
OCBC,1Q25 Performance Highlights,1q25_performance_highlights,12,1,OCBC_1Q25_Results__Press_Release
UOB,Performance by Geographical Segment 1 (cont’d) — 1H25,performance_by_geographical_segment_1_cont_d_1h25,12,1,UOB_4Q25_condensed-financial-statements
UOB,Performance by Geographical Segment 1 (cont’d) — 2H24,performance_by_geographical_segment_1_cont_d_2h24,12,1,UOB_4Q25_condensed-financial-statements
UOB,Performance by Geographical Segment 1 (cont’d) — 2H25,performance_by_geographical_segment_1_cont_d_2h25,12,1,UOB_4Q25_condensed-financial-statements
OCBC,Movements in Level 3 financial assets and liabilities - Financial assets measured at fair value 2024,movements_in_level_3_financial_assets_and_liabilities_financial_assets_measured_at_fair_value_2024,11,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,Movements in Level 3 financial assets and liabilities - Financial liabilities measured at fair value 2025 & 2024,movements_in_level_3_financial_assets_and_liabilities_financial_liabilities_measured_at_fair_value_2025_2024,11,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,Movements in Level 3 financial assets and liabilities — Financial assets measured at fair value 2024,movements_in_level_3_financial_assets_and_liabilities_financial_assets_measured_at_fair_value_2024,11,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,Movements in Level 3 financial assets and liabilities — Financial liabilities measured at fair value,movements_in_level_3_financial_assets_and_liabilities_financial_liabilities_measured_at_fair_value,11,1,OCBC_4Q25_Condensed_Financial_Statements
DBS,IRBA - RWA Flow Statement for Credit Risk Exposures 31 Mar 2025,irba_rwa_flow_statement_for_credit_risk_exposures_31_mar_2025,10,1,1Q25_P3_other_regulatory_disclosures
DBS,IRBA - RWA Flow Statement for Credit Risk Exposures 31 Mar 2026,irba_rwa_flow_statement_for_credit_risk_exposures_31_mar_2026,10,1,DBS_1Q26_P3_other_regulatory_disclosures
DBS,By loan grading,by_loan_grading,10,1,DBS_2Q25_performance_summary
DBS,6.1 IRBA - RWA Flow Statement for Credit Risk Exposures,irba_rwa_flow_statement_for_credit_risk_exposures,10,1,DBS_3Q22_pillar3
UOB,Net interest margin 2025 / 2024,net_interest_margin_2025_2024,10,1,UOB_4Q25_condensed-financial-statements
UOB,Net interest margin 2H25 / 2H24 / 1H25,net_interest_margin_2h25_2h24_1h25,10,1,UOB_4Q25_condensed-financial-statements
OCBC,Allowances,allowances,9,3,OCBC_1H25_Media_Release_Financial_Highlights; OCBC_1Q25_Results__Press_Release; OCBC_4Q25_Media_Release_and_Financial_Highlights
OCBC,Movements in Level 3 financial assets and liabilities - Financial assets measured at fair value 2025,movements_in_level_3_financial_assets_and_liabilities_financial_assets_measured_at_fair_value_2025,9,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,Valuation techniques and unobservable inputs for Level 3 instruments - GROUP 31 Dec 2025,valuation_techniques_and_unobservable_inputs_for_level_3_instruments_group_31_dec_2025,9,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,Movements in Level 3 financial assets and liabilities — Financial assets measured at fair value 2025,movements_in_level_3_financial_assets_and_liabilities_financial_assets_measured_at_fair_value_2025,9,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,Valuation techniques and unobservable inputs for Level 3 instruments - 31 Dec 2025,valuation_techniques_and_unobservable_inputs_for_level_3_instruments_31_dec_2025,9,1,OCBC_4Q25_Condensed_Financial_Statements
UOB,NPL by industry,npl_by_industry,9,1,UOB_4Q25_condensed-financial-statements
DBS,"5.2 Comparison of Modelled and Standardised RWA at Risk Level
31 Mar 2025",comparison_of_modelled_and_standardised_rwa_at_risk_level_31_mar_2025,8,1,1Q25_P3_other_regulatory_disclosures
DBS,5.2 Comparison of Modelled and Standardised RWA at Risk Level — 30 Sep 2025,comparison_of_modelled_and_standardised_rwa_at_risk_level_30_sep_2025,8,1,3Q25_P3_other_regulatory_disclosures
DBS,"5.2 Comparison of Modelled and Standardised RWA at Risk Level
31 Mar 2026",comparison_of_modelled_and_standardised_rwa_at_risk_level_31_mar_2026,8,1,DBS_1Q26_P3_other_regulatory_disclosures
OCBC,Valuation techniques and unobservable inputs for Level 3 instruments - GROUP 31 Dec 2024,valuation_techniques_and_unobservable_inputs_for_level_3_instruments_group_31_dec_2024,8,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,Valuation techniques and unobservable inputs for Level 3 instruments - 31 Dec 2024,valuation_techniques_and_unobservable_inputs_for_level_3_instruments_31_dec_2024,8,1,OCBC_4Q25_Condensed_Financial_Statements
UOB,1Q25 key financial indicators,1q25_key_financial_indicators,8,1,UOB_1Q25_performance-highlights
UOB,Key Audit Matters,key_audit_matters,7,1,UOB_4Q25_condensed-financial-statements
DBS,DBS GROUP HOLDINGS LTD AND ITS SUBSIDIARIES,dbs_group_holdings_ltd_and_its_subsidiaries,6,1,DBS_2Q25_performance_summary
DBS,Dividends,dividends,6,1,DBS_4Q25_performance_summary
DBS,By period overdue,by_period_overdue,6,1,DBS_4Q25_performance_summary
OCBC,Allowances (S$ million),allowances_s_million,6,2,OCBC_1H25_Media_Release_Financial_Highlights; OCBC_4Q25_Media_Release_and_Financial_Highlights
DBS,Of which: restructured assets,of_which_restructured_assets,5,1,DBS_2Q22_performance_summary
DBS,"Per share data2,7 ($)",per_share_data2_7,4,1,3Q25_trading_update
DBS,Key audit matters,key_audit_matters,4,1,DBS_4Q25_performance_summary
OCBC,"INDEPENDENT AUDITOR'S REPORT TO THE MEMBERS OF OVERSEA-CHINESE BANKING CORPORATION LIMITED (continued)
Key Audit Matter",independent_auditor_s_report_to_the_members_of_oversea_chinese_banking_corporation_limited_continued_key_audit_matter,4,1,OCBC_4Q25_Condensed_Financial_Statements
OCBC,Credit costs,credit_costs,3,1,OCBC_1Q25_Results__Press_Release
OCBC,Key Audit Matters,key_audit_matters,3,1,OCBC_4Q25_Condensed_Financial_Statements
UOB,Total allowance,total_allowance,3,1,UOB_4Q25_condensed-financial-statements
DBS,INDEPENDENT AUDITOR’S REPORT TO THE MEMBERS OF DBS GROUP HOLDINGS LTD (continued) - Key audit matter,independent_auditor_s_report_to_the_members_of_dbs_group_holdings_ltd_continued_key_audit_matter,2,1,DBS_4Q25_performance_summary
