bank,doc_kind,cadence,section_canonical,table_type_id,caption_canonical,col_axis,row_dim_axis,value_kind,page,expected,is_narrative,evidence,notes
UOB,condensed_financial_statements,half_year,Condensed Financial Statements,FS_INCOME_STATUTORY,Income Statement (Audited),period,—,flow,24,True,False,observed,statutory
UOB,condensed_financial_statements,half_year,Condensed Financial Statements,FS_COMPREHENSIVE_INCOME,Statement of Comprehensive Income (Audited),period,—,flow,25,True,False,observed,
UOB,condensed_financial_statements,half_year,Condensed Financial Statements,FS_BALANCE_STATUTORY,Balance Sheets (Audited),period+entity,—,stock,26,True,False,observed,"The Group AND The Bank cols = legal_entity axis; 572,061 vs 485,263"
UOB,condensed_financial_statements,half_year,Condensed Financial Statements,FS_EQUITY_CHANGES_GROUP,Statements of Changes in Equity (Audited) - Group,period,equity component,flow,27,True,False,observed,
UOB,condensed_financial_statements,half_year,Condensed Financial Statements,FS_EQUITY_CHANGES_COMPANY,Statements of Changes in Equity (Audited) - Bank,period,equity component,flow,28,True,False,observed,
UOB,condensed_financial_statements,half_year,Condensed Financial Statements,FS_CASHFLOW,Cash Flow Statement (Audited),period,cf line,delta,29,True,False,observed,value_kind=delta
UOB,condensed_financial_statements,half_year,Notes,FS_INCOME_TAX,Income Tax,period,—,flow,31,True,False,observed,note
UOB,condensed_financial_statements,half_year,Notes,FS_SHARE_CAPITAL,Share Capital and Other Capital,period,—,stock,31,True,False,observed,note
UOB,condensed_financial_statements,half_year,Notes,FS_DIVIDENDS,Dividends,period,—,flow,32,False,False,observed,note
UOB,condensed_financial_statements,half_year,Notes,FS_FINANCIAL_CLASSIFICATION,Classification of Financial Assets and Liabilities,period+measure,FVPL/FVOCI/AC,stock,32,True,False,observed,note
UOB,condensed_financial_statements,half_year,Notes,FS_FAIR_VALUE_HIERARCHY,Fair Value of Financial Instruments,period+measure,level,stock,34,True,False,observed,note; Level 1/2/3
UOB,condensed_financial_statements,half_year,Notes,FS_DEBTS_ISSUED,Debts Issued,period,instrument,stock,36,True,False,observed,note
UOB,condensed_financial_statements,any,Performance Review,UNCLASSIFIED,Performance Review commentary,—,—,—,4,False,True,observed,narrative
UOB,condensed_financial_statements,any,Attachment,UNCLASSIFIED,Independent Auditor Report,—,—,—,99,False,True,observed,narrative
OCBC,media_release_financial_highlights,every_quarter,FINANCIAL HIGHLIGHTS,FS_INCOME_SELECTED,Selected Income Statement Items,period,—,flow,10,True,False,observed,FY/4Q/3Q panel AND 2H/1H panel
OCBC,media_release_financial_highlights,every_quarter,FINANCIAL HIGHLIGHTS,FS_BALANCE_SELECTED,Selected Balance Sheet Items,period,—,stock,10,True,False,observed,incl ordinary equity vs equity attributable = two equity concepts
OCBC,media_release_financial_highlights,every_quarter,FINANCIAL HIGHLIGHTS,FS_RATIOS_KEY,Key Financial Ratios,period,ratio-group,ratio,12,True,False,observed,grouped: performance / revenue-mix / capital / liquidity; ROE/ROA/NIM/CIR/LDR/NPL/CET1/T1/Total/leverage/LCR SGD+all-ccy/NSFR/EPS/NAV
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_AVG_BALANCE_SHEET,Net Interest Income - Average Balance Sheet,period+measure,asset/liab line,mixed,13,True,False,observed,THREE col roles avg balance/interest/rate
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_VOLUME_RATE,Volume and Rate Analysis,period+measure,asset/liab line,delta,13,True,False,observed,
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_OTHER_NONII_DETAIL,Non-Interest Income,period,income type,flow,14,True,False,observed,fee detail + trading + insurance + other
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_EXPENSES_DETAIL,Operating Expenses,period,expense type,flow,15,True,False,observed,
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_ALLOWANCES_DETAIL,Allowances for Loans and Other Assets,period+geo,impaired/geo,flow,15,True,False,observed,impaired by geography + non-impaired
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_CUSTOMER_LOANS,Loans to Customers,period,breakdown axis,stock,16,True,False,observed,gross->net; by maturity/industry/currency/geography
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_NPA_COVERAGE,Non-Performing Assets,period+geo,breakdown axis,stock,17,True,False,observed,by geography/industry/overdue; restructured
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_CUSTOMER_DEPOSITS,Deposits,period,currency+product,stock,19,True,False,observed,
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_CAPITAL_ADEQUACY,Capital Adequacy Ratios,period,capital/RWA line,mixed,20,True,False,observed,
OCBC,media_release_financial_highlights,half_year,FINANCIAL HIGHLIGHTS,FS_PERF_BY_SEGMENT,Performance by Business Segment,segment,PBT line,flow,21,True,False,observed,axis=business_unit: Consumer/Wholesale/Markets/Insurance/Others; PBT only
OCBC,media_release_financial_highlights,every_quarter,FINANCIAL HIGHLIGHTS,FS_ASSET_QUALITY,Asset Quality and Allowances,period,measure,mixed,6,True,False,observed,NPA/NPL/coverage + credit-cost bps
OCBC,media_release_financial_highlights,every_quarter,Media Release,FS_HIGHLIGHTS_COMBINED,FY25 Performance Highlights,period,—,mixed,1,True,False,observed,headline KPI tiles
OCBC,media_release_financial_highlights,half_year,Media Release,FS_INCOME_STATUTORY,Full Year 2025 Performance,period,—,flow,2,True,False,observed,income-statement-shaped summary; FY panel
OCBC,media_release_financial_highlights,half_year,Media Release,FS_INCOME_STATUTORY,Fourth Quarter 2025 Performance,period,—,flow,4,True,False,observed,"4Q panel; same table_type_id, different period cols"
OCBC,media_release_financial_highlights,half_year,Media Release,FS_DIVIDENDS,Dividend,period,—,flow,8,False,False,observed,
OCBC,media_release_financial_highlights,any,Media Release,UNCLASSIFIED,Performance narrative (YoY / QoQ prose),—,—,—,2,False,True,observed,narrative
OCBC,media_release_financial_highlights,any,Media Release,UNCLASSIFIED,Strong Funding Liquidity and Capital Position,—,—,—,7,False,True,observed,narrative w/ inline KPI table
OCBC,media_release_financial_highlights,any,Media Release,UNCLASSIFIED,Message from Group CEO / About OCBC,—,—,—,9,False,True,observed,narrative
OCBC,media_release_financial_highlights,any,FINANCIAL HIGHLIGHTS,UNCLASSIFIED,Performance by Business Segment prose,—,—,—,21,False,True,observed,narrative
OCBC,condensed_financial_statements,half_year,Condensed Financial Statements,FS_INCOME_STATUTORY,Consolidated Income Statement,period,—,flow,2,True,False,observed,statutory; 2H25/2H24/2025/2024; EPS basic/diluted at foot
OCBC,condensed_financial_statements,half_year,Condensed Financial Statements,FS_COMPREHENSIVE_INCOME,Consolidated Statement of Comprehensive Income,period,—,flow,3,True,False,observed,
OCBC,condensed_financial_statements,half_year,Condensed Financial Statements,FS_BALANCE_STATUTORY,Balance Sheets,period+entity,—,stock,4,True,False,observed,GROUP and BANK cols = legal_entity axis; NAV per share at foot
OCBC,condensed_financial_statements,half_year,Condensed Financial Statements,FS_EQUITY_CHANGES_GROUP,Statement of Changes in Equity - Group,period,equity component,flow,5,True,False,observed,
OCBC,condensed_financial_statements,half_year,Condensed Financial Statements,FS_EQUITY_CHANGES_COMPANY,Statement of Changes in Equity - Bank,period,equity component,flow,7,True,False,observed,
OCBC,condensed_financial_statements,half_year,Condensed Financial Statements,FS_CASHFLOW,Consolidated Cash Flow Statement,period,cf line,delta,8,True,False,observed,value_kind=delta
OCBC,condensed_financial_statements,half_year,Notes,FS_NII_DETAIL,Net interest income,period,interest line,flow,11,True,False,observed,note 3; interest income/expense breakdown
OCBC,condensed_financial_statements,half_year,Notes,FS_FEE_DETAIL,Fees and commissions (net),period,fee type,flow,12,True,False,observed,note 4
OCBC,condensed_financial_statements,half_year,Notes,FS_OTHER_NONII_DETAIL,Other income,period,income type,flow,12,True,False,observed,note 5
OCBC,condensed_financial_statements,half_year,Notes,FS_EXPENSES_DETAIL,Other operating expenses,period,expense type,flow,12,True,False,observed,note 6
OCBC,condensed_financial_statements,half_year,Notes,FS_ALLOWANCES_DETAIL,Allowances for loans and other assets,period,impaired/non-impaired,flow,12,True,False,observed,note 7
OCBC,condensed_financial_statements,half_year,Notes,FS_DIVIDENDS,Dividends/distributions,period,—,flow,13,False,False,observed,note 8
OCBC,condensed_financial_statements,half_year,Notes,FS_SHARE_CAPITAL,Share capital,period,—,stock,13,True,False,observed,note 9
OCBC,condensed_financial_statements,half_year,Notes,FS_CUSTOMER_DEPOSITS,Deposits and balances of non-bank customers and banks,period,product,stock,14,True,False,observed,note 10
OCBC,condensed_financial_statements,half_year,Notes,FS_DEBTS_ISSUED,Debt issued,period,instrument,stock,14,True,False,observed,note 11
OCBC,condensed_financial_statements,half_year,Notes,FS_CUSTOMER_LOANS,Loans to customers,period,—,stock,14,True,False,observed,note 12; gross->net
OCBC,condensed_financial_statements,half_year,Notes,FS_PERF_BY_SEGMENT,Segment information - business,segment,P&L+BS line,mixed,15,True,False,observed,note 13.1; axis=business_unit Consumer/Wholesale/Markets/Insurance/Others
OCBC,condensed_financial_statements,half_year,Notes,FS_PERF_BY_GEOGRAPHY,Segment information - geographical,geo,income/PBT/assets,mixed,19,True,False,observed,note 13.2; axis=geography
OCBC,condensed_financial_statements,half_year,Notes,FS_FAIR_VALUE_HIERARCHY,Fair values of financial instruments,period+measure,level,stock,20,True,False,observed,note 14; Level 1/2/3
OCBC,condensed_financial_statements,any,Other Information,UNCLASSIFIED,Other Information (Listing Rule Appendix 7.2),—,—,—,26,False,True,observed,narrative
OCBC,condensed_financial_statements,any,Attachment,UNCLASSIFIED,Independent Auditor Report,—,—,—,99,False,True,observed,narrative
