bank,table_type_id,col_ordinal,canonical_col_id,label,full_path,source_family,notes
DBS,FS_NPA_BY_INDUSTRY,1,npa_m,NPA ($m),NPA ($m),Performance_summary,measure column: NPA amount ($m) per industry
DBS,FS_NPA_BY_INDUSTRY,2,sp_m,SP ($m),SP ($m),Performance_summary,measure column: specific provisions ($m) per industry
DBS,FS_NPA_BY_LOAN_GRADING,1,npa_m,NPA ($m),NPA ($m),Performance_summary,PATTERN-MATCHED from FS_NPA_BY_INDUSTRY; verify against source
DBS,FS_NPA_BY_LOAN_GRADING,2,sp_m,SP ($m),SP ($m),Performance_summary,PATTERN-MATCHED; verify against source
DBS,FS_NPA_BY_PERIOD_OVERDUE,1,npa_m,NPA ($m),NPA ($m),Performance_summary,single measure column: NPA amount ($m) per overdue aging bucket
DBS,FS_NPA_COVERAGE,1,npa_m,NPA ($m),NPA ($m),Performance_summary,measure column: amount ($m); row context (NPL vs NPA) determines interpretation
DBS,FS_NPA_COVERAGE,2,npl_percent_of_loans,NPL (% of loans),NPL (% of loans),Performance_summary,"measure column: NPL ratio, only meaningful for NPL rows"
DBS,FS_NPA_COVERAGE,3,sp_m,SP ($m),SP ($m),Performance_summary,measure column: specific provisions ($m)
DBS,FS_PERF_BY_GEOGRAPHY,1,singapore,Singapore,Singapore,Performance_summary,
DBS,FS_PERF_BY_GEOGRAPHY,2,hong_kong,Hong Kong,Hong Kong,Performance_summary,
DBS,FS_PERF_BY_GEOGRAPHY,3,rest_of_greater_china,Rest of Greater China,Rest of Greater China,Performance_summary,
DBS,FS_PERF_BY_GEOGRAPHY,4,south_and_southeast_asia,South and Southeast Asia,South and Southeast Asia,Performance_summary,label fix: DBS prints 'Southeast' (no hyphen)
DBS,FS_PERF_BY_GEOGRAPHY,5,rest_of_the_world,Rest of the World,Rest of the World,Performance_summary,
DBS,FS_PERF_BY_GEOGRAPHY,6,total,Total,Total,Performance_summary,
DBS,FS_PERF_BY_SEGMENT,1,consumer_banking_wealth_management,Consumer Banking/ Wealth Management,Consumer Banking/ Wealth Management,Performance_summary,
DBS,FS_PERF_BY_SEGMENT,2,institutional_banking,Institutional Banking,Institutional Banking,Performance_summary,
DBS,FS_PERF_BY_SEGMENT,3,others,Others,Others,Performance_summary,
DBS,FS_PERF_BY_SEGMENT,4,markets_trading,Markets Trading,Markets Trading,Performance_summary,label fix: printed header is 'Markets Trading'
DBS,FS_PERF_BY_SEGMENT,5,total,Total,Total,Performance_summary,
