section_id,section_title,first_page,last_page,n_pages,n_tables,confidence,note
18,Counterparty Credit Risk,71,82,12,24,review,18.1 x2 + 18.2 x2 + 18.3 x2 + 18.4 x8 + 18.5 x6 + 18.6 x2 + 18.7 x1; PD-range blocks stacked
18.1,Analysis of CCR Exposures by Approach,71,71,1,2,high,31 Dec 25 + 30 Jun 25
18.2,Exposures to Central Counterparties,72,73,2,2,high,one table per reporting date
18.3,SA - CCR Exposures by Portfolio and Risk Weights,74,74,1,2,high,31 Dec 25 + 30 Jun 25
18.4,F-IRBA - CCR Exposures by Portfolio and PD Range,75,78,4,8,review,4 portfolios x 2 dates
18.5,A-IRBA - CCR Exposures by Portfolio and PD Range,79,80,2,6,review,3 portfolios x 2 dates on 2pp
18.6,Composition of Collateral for CCR Exposure,81,81,1,2,high,31 Dec 25 + 30 Jun 25
18.7,Credit Derivative Exposures,82,82,1,1,high,both dates in one matrix
19,Securitisation Exposures,83,85,3,3,high,19.1 x1 + 19.2 x1 + 19.3 x0 + 19.4 x1
19.1,Securitisation Exposures in the Banking Book,83,83,1,1,high,
19.2,Securitisation Exposures in the Trading Book,84,84,1,1,high,
19.3,Securitisation Exposures in the Banking Book and associated Regulatory Capital Requirements - A Reporting Bank acting as Originator or as Sponsor,84,84,1,0,high,"nil disclosure, prose only; shares p84 with 19.2"
19.4,Securitisation Exposures in the Banking Book and associated Regulatory Capital Requirements - A Reporting Bank acting as Investor,85,85,1,1,high,20-column landscape table
20,Market Risk,86,87,2,3,high,20.1 x1 + 20.2 x2
20.1,Market Risk under Standardised Approach,86,86,1,1,high,
20.2,CVA Risk Capital Requirements,87,87,1,2,high,31 Dec 25 + 30 Jun 25
21,Operational Risk,88,91,4,5,review,21.1 x3 + 21.2 x2 + 21.3 x1; qualitative rows 11-13 counted with loss table
21.1,Historical Losses,88,89,2,3,review,S$30k threshold + S$150k threshold + capital-calc details block
21.2,Business Indicator and Subcomponents,90,90,1,2,high,BI subcomponents + BI disclosure rows 6-7
21.3,Minimum Required Operational Risk Capital,91,91,1,1,high,
22,Interest Rate Risk in the Banking Book,92,92,1,2,high,EVE/NII scenario table + Tier 1 Capital table
23,Liquidity Coverage Ratio,93,95,3,2,high,23.1 x1 + 23.2 x1; p93 is prose only
23.1,Average Group All Currency LCR,94,94,1,1,high,
23.2,Average Group SGD LCR,95,95,1,1,high,
24,Net Stable Funding Ratio,96,98,3,2,high,"31 Dec 25 + 30 Sep 25; p96 prose only, tables unnumbered"
25,Abbreviations,99,102,4,1,high,single glossary spanning 4pp
